InvoiceNo,InvoiceDate,CustomerID,CustomerName,Country,ProductID,ProductName,Category,Quantity,UnitPrice,TotalPrice
INV7446,2024-11-15,C0611,Priya Gupta,India,P0115,Foam Roller,Sports & Fitness,2,1161.75,2323.5
INV3565,2024-11-14,C0232,Vivaan Sharma,United States,P0054,Backpack Pro,Fashion,5,1238.98,6194.9
INV9174,2023-05-14,C0777,Olivia Singh,India,P0036,Knife Set Pro,Home & Kitchen,3,1567.79,4703.37
INV2681,2024-11-24,C0146,Mason Verma,India,P0064,Moisturizer Pro,Beauty & Personal Care,4,1927.21,7708.84
INV7171,2023-07-07,C0582,Mia Reddy,Netherlands,P0045,Running Shoes,Fashion,1,1275.77,1275.77
INV6349,2024-09-17,C0498,Amelia Singh,India,P0074,Hair Dryer Pro,Beauty & Personal Care,4,266.4,1065.6
INV6200,2024-12-24,C0489,Noah Muller,Singapore,P0106,Resistance Bands Pro,Sports & Fitness,5,717.68,3588.4
INV8594,2024-12-04,C0716,Ethan Iyer,UAE,P0098,Art Supplies Kit Pro,Books & Stationery,4,1277.0,5108.0
INV4809,2024-08-06,C0360,Mason Khan,United States,P0107,Water Bottle,Sports & Fitness,6,3058.87,18353.22
INV3245,2024-07-01,C0196,James Fischer,United Kingdom,P0093,Fountain Pen,Books & Stationery,3,468.21,1404.63
INV1378,2024-09-01,C0041,Arjun Muller,India,P0039,Bedsheet Set,Home & Kitchen,2,3133.25,6266.5
INV5259,2024-08-06,C0402,Noah Johnson,UAE,P0044,Denim Jacket Pro,Fashion,4,1432.41,5729.64
INV2029,2024-11-14,C0084,Charlotte Patel,India,P0006,Smart Watch Pro,Electronics,6,4357.76,26146.56
INV9032,2024-11-03,C0762,Charlotte Fischer,United Kingdom,P0091,Sticky Notes,Books & Stationery,1,165.56,165.56
INV3505,2024-10-31,C0226,James Fischer,India,P0008,Power Bank Pro,Electronics,6,3232.52,19395.12
INV8082,2024-12-22,C0670,Sara Fischer,India,P0061,Face Wash,Beauty & Personal Care,6,906.26,5437.56
INV7038,2024-08-21,C0570,Diya Verma,United Kingdom,P0093,Fountain Pen,Books & Stationery,4,467.24,1868.96
INV7262,2024-12-25,C0592,Sara Smith,Germany,P0002,Wireless Earbuds Pro,Electronics,5,2087.51,10437.55
INV3759,2024-06-11,C0247,Karan Muller,United Kingdom,P0033,Electric Kettle,Home & Kitchen,2,2336.93,4673.86
INV1771,2023-03-20,C0068,Priya Williams,Australia,P0014,Webcam Pro,Electronics,4,1138.03,4552.12
INV4412,2024-12-27,C0312,James Rossi,India,P0049,Sunglasses,Fashion,6,967.49,5804.94
INV7198,2023-03-09,C0586,Ava Malhotra,India,P0091,Sticky Notes,Books & Stationery,5,125.36,626.8
INV8598,2024-11-07,C0716,Ethan Iyer,UAE,P0048,Leather Wallet Pro,Fashion,2,2094.96,4189.92
INV5495,2024-03-07,C0425,Olivia Patel,India,P0086,Sketch Pens Pro,Books & Stationery,6,763.05,4578.3
INV8903,2024-02-18,C0746,Meera Williams,Canada,P0018,Wireless Mouse Pro,Electronics,1,3729.1,3729.1
INV9279,2024-12-16,C0789,Liam Verma,United Kingdom,P0053,Backpack,Fashion,5,2675.01,13375.05
INV4867,2023-09-09,C0363,Noah Garcia,United Kingdom,P0084,Fiction Novel Pro,Books & Stationery,2,635.93,1271.86
INV7340,2024-10-01,C0598,Aditya Garcia,India,P0117,Fitness Tracker,Sports & Fitness,4,1776.17,7104.68
INV2934,2024-05-27,C0166,Karan Verma,Australia,P0071,Sunscreen,Beauty & Personal Care,2,735.62,1471.24
INV4440,2024-05-26,C0313,Harper Iyer,India,P0015,Mechanical Keyboard,Electronics,4,6527.11,26108.44
INV5117,2024-07-20,C0391,Arjun Kumar,Netherlands,P0035,Knife Set,Home & Kitchen,2,692.61,1385.22
INV6940,2023-10-07,C0558,Meera Williams,India,P0026,LED Desk Lamp Pro,Home & Kitchen,6,2813.01,16878.06
INV2770,2024-11-24,C0155,Ava Smith,Netherlands,P0018,Wireless Mouse Pro,Electronics,6,4170.85,25025.1
INV5435,2024-09-25,C0417,Mia Fischer,India,P0072,Sunscreen Pro,Beauty & Personal Care,2,1437.35,2874.7
INV4428,2024-11-06,C0312,James Rossi,India,P0068,Perfume Pro,Beauty & Personal Care,6,1407.75,8446.5
INV9161,2024-12-09,C0777,Olivia Singh,India,P0091,Sticky Notes,Books & Stationery,3,203.51,610.53
INV3509,2023-09-26,C0226,James Fischer,India,P0102,Yoga Mat Pro,Sports & Fitness,6,1213.22,7279.32
INV4664,2024-10-26,C0336,Emma Gupta,India,P0048,Leather Wallet Pro,Fashion,6,2087.49,12524.94
INV6635,2024-05-02,C0524,Olivia Khan,Canada,P0105,Resistance Bands,Sports & Fitness,3,980.21,2940.63
INV7669,2024-09-27,C0623,William Gupta,United Kingdom,P0038,Wall Clock Pro,Home & Kitchen,6,5298.25,31789.5
INV8844,2023-08-05,C0739,Sophia Gupta,United Kingdom,P0114,Gym Bag Pro,Sports & Fitness,2,3087.92,6175.84
INV6263,2024-10-17,C0492,Liam Brown,United States,P0085,Sketch Pens,Books & Stationery,4,714.91,2859.64
INV3715,2023-04-01,C0240,Priya Verma,India,P0091,Sticky Notes,Books & Stationery,6,122.05,732.3
INV2972,2024-12-22,C0174,Olivia Johnson,India,P0015,Mechanical Keyboard,Electronics,3,6139.37,18418.11
INV8571,2024-12-20,C0716,Ethan Iyer,UAE,P0077,Face Mask Pack,Beauty & Personal Care,5,2450.51,12252.55
INV7249,2024-10-24,C0591,Charlotte Patel,India,P0078,Face Mask Pack Pro,Beauty & Personal Care,1,659.71,659.71
INV2951,2024-09-23,C0169,Liam Kumar,India,P0011,Laptop Stand,Electronics,6,3827.24,22963.44
INV2580,2024-08-15,C0135,Emma Williams,Singapore,P0057,Analog Watch,Fashion,6,2129.17,12775.02
INV7501,2024-09-16,C0614,Isha Sharma,India,P0001,Wireless Earbuds,Electronics,3,6695.23,20085.69
INV1411,2024-04-16,C0041,Arjun Muller,India,P0061,Face Wash,Beauty & Personal Care,1,1739.76,1739.76
INV3603,2024-11-25,C0234,William Williams,United States,P0028,Storage Boxes Pro,Home & Kitchen,3,3119.49,9358.47
INV8230,2023-12-14,C0685,Karan Sharma,UAE,P0001,Wireless Earbuds,Electronics,3,4187.21,12561.63
INV5570,2024-09-28,C0433,Emma Patel,United States,P0084,Fiction Novel Pro,Books & Stationery,1,868.99,868.99
INV2149,2024-08-20,C0096,Rohan Chopra,United States,P0115,Foam Roller,Sports & Fitness,1,1118.64,1118.64
INV5426,2024-09-25,C0417,Mia Fischer,India,P0033,Electric Kettle,Home & Kitchen,6,2363.67,14182.02
INV6866,2024-12-07,C0548,Olivia Jones,Germany,P0109,Skipping Rope,Sports & Fitness,6,1088.53,6531.18
INV2553,2024-11-29,C0133,Sara Garcia,India,P0099,Puzzle Book,Books & Stationery,3,231.32,693.96
INV6461,2023-04-17,C0509,Priya Jones,Singapore,P0105,Resistance Bands,Sports & Fitness,4,807.12,3228.48
INV3854,2024-02-22,C0256,Harper Smith,United States,P0099,Puzzle Book,Books & Stationery,5,364.52,1822.6
INV6335,2024-08-27,C0498,Amelia Singh,India,P0072,Sunscreen Pro,Beauty & Personal Care,4,1428.28,5713.12
INV5296,2024-10-27,C0403,Mason Garcia,United States,P0090,Planner Diary Pro,Books & Stationery,1,165.56,165.56
INV1177,2024-10-16,C0022,Isha Khan,India,P0053,Backpack,Fashion,6,4405.41,26432.46
INV2841,2024-11-30,C0159,Isha Verma,India,P0114,Gym Bag Pro,Sports & Fitness,4,3148.29,12593.16
INV5788,2023-03-30,C0456,Arjun Iyer,United States,P0077,Face Mask Pack,Beauty & Personal Care,6,1565.64,9393.84
INV1240,2023-05-27,C0027,Amelia Kumar,India,P0051,Formal Shirt,Fashion,2,2710.6,5421.2
INV2870,2024-12-09,C0161,Arjun Sharma,United Kingdom,P0031,Air Fryer,Home & Kitchen,5,627.6,3138.0
INV6043,2024-11-02,C0477,Henry Brown,India,P0042,Cotton T-Shirt Pro,Fashion,5,1395.5,6977.5
INV7165,2023-04-03,C0581,Henry Smith,United Kingdom,P0082,Notebook Set Pro,Books & Stationery,1,723.62,723.62
INV7725,2024-12-18,C0627,Mia Brown,United Kingdom,P0049,Sunglasses,Fashion,6,1120.24,6721.44
INV5891,2023-09-27,C0465,Mia Garcia,Singapore,P0021,Non-stick Pan,Home & Kitchen,5,2256.35,11281.75
INV7923,2023-12-29,C0654,Harper Malhotra,France,P0059,Winter Hoodie,Fashion,1,1647.67,1647.67
INV7582,2024-11-08,C0618,Olivia Nair,India,P0039,Bedsheet Set,Home & Kitchen,6,2464.74,14788.44
INV6604,2024-08-03,C0522,Vivaan Gupta,United Kingdom,P0086,Sketch Pens Pro,Books & Stationery,4,1044.37,4177.48
INV3359,2024-09-23,C0211,Sophia Jones,United States,P0011,Laptop Stand,Electronics,6,5400.47,32402.82
INV8531,2024-10-08,C0714,Sara Singh,United Kingdom,P0064,Moisturizer Pro,Beauty & Personal Care,5,1966.96,9834.8
INV8157,2024-12-23,C0682,Lucas Patel,India,P0078,Face Mask Pack Pro,Beauty & Personal Care,3,666.14,1998.42
INV3550,2024-08-09,C0231,Ava Williams,Australia,P0016,Mechanical Keyboard Pro,Electronics,4,4321.33,17285.32
INV8764,2024-11-21,C0734,William Patel,United States,P0099,Puzzle Book,Books & Stationery,6,340.19,2041.14
INV7353,2024-12-23,C0598,Aditya Garcia,India,P0105,Resistance Bands,Sports & Fitness,6,975.07,5850.42
INV6972,2024-11-18,C0562,Diya Iyer,India,P0040,Bedsheet Set Pro,Home & Kitchen,4,4403.26,17613.04
INV2363,2024-08-15,C0113,Mia Nair,UAE,P0036,Knife Set Pro,Home & Kitchen,5,786.01,3930.05
INV8037,2024-08-23,C0666,Noah Chopra,India,P0044,Denim Jacket Pro,Fashion,1,1370.18,1370.18
INV8888,2024-06-07,C0744,Karan Muller,United States,P0055,Sports Cap,Fashion,1,2809.46,2809.46
INV3168,2024-12-21,C0188,Karan Iyer,United States,P0009,USB-C Cable,Electronics,4,2753.2,11012.8
INV8026,2024-12-30,C0666,Noah Chopra,India,P0015,Mechanical Keyboard,Electronics,3,7869.58,23608.74
INV4468,2023-08-18,C0315,Noah Kumar,Australia,P0089,Planner Diary,Books & Stationery,5,564.13,2820.65
INV8401,2024-09-06,C0699,Meera Iyer,India,P0080,Body Lotion Pro,Beauty & Personal Care,3,1481.39,4444.17
INV4842,2024-05-21,C0362,Emma Williams,Germany,P0012,Laptop Stand Pro,Electronics,5,7778.96,38894.8
INV5306,2024-01-11,C0404,Noah Dubois,Australia,P0008,Power Bank Pro,Electronics,4,3637.03,14548.12
INV4520,2024-11-07,C0320,Charlotte Khan,India,P0027,Storage Boxes,Home & Kitchen,2,2339.08,4678.16
INV6291,2024-02-24,C0495,Amelia Nair,United Kingdom,P0042,Cotton T-Shirt Pro,Fashion,5,721.5,3607.5
INV6487,2024-08-23,C0511,William Singh,United States,P0002,Wireless Earbuds Pro,Electronics,1,1602.66,1602.66
INV8096,2024-09-11,C0674,Sara Nair,United States,P0053,Backpack,Fashion,2,2689.86,5379.72
INV7712,2024-06-09,C0627,Mia Brown,United Kingdom,P0038,Wall Clock Pro,Home & Kitchen,6,5488.27,32929.62
INV1104,2023-05-09,C0016,Liam Sharma,India,P0065,Shampoo,Beauty & Personal Care,4,796.85,3187.4
INV6861,2024-08-01,C0547,Vivaan Brown,India,P0016,Mechanical Keyboard Pro,Electronics,6,2688.15,16128.9
INV3909,2024-12-21,C0266,Sara Singh,France,P0061,Face Wash,Beauty & Personal Care,1,900.34,900.34
INV6789,2024-11-09,C0540,Aditya Smith,India,P0081,Notebook Set,Books & Stationery,1,223.98,223.98
INV3222,2024-06-09,C0195,Meera Williams,United Kingdom,P0022,Non-stick Pan Pro,Home & Kitchen,1,439.6,439.6
INV2467,2024-06-20,C0126,Aarav Iyer,United Kingdom,P0011,Laptop Stand,Electronics,6,6332.21,37993.26
INV6825,2024-09-16,C0542,Priya Khan,United States,P0054,Backpack Pro,Fashion,2,1251.46,2502.92
INV5010,2024-05-03,C0381,Priya Nair,India,P0116,Foam Roller Pro,Sports & Fitness,5,1588.75,7943.75
INV7112,2024-09-02,C0577,Kabir Sharma,India,P0040,Bedsheet Set Pro,Home & Kitchen,1,3451.5,3451.5
INV4378,2024-08-13,C0307,Charlotte Smith,United States,P0089,Planner Diary,Books & Stationery,6,653.6,3921.6
INV1827,2024-09-15,C0075,Sara Patel,Germany,P0048,Leather Wallet Pro,Fashion,6,2035.38,12212.28
INV8989,2024-08-06,C0756,Ethan Nair,Australia,P0018,Wireless Mouse Pro,Electronics,5,5199.73,25998.65
INV1690,2024-11-10,C0060,Meera Iyer,United Kingdom,P0068,Perfume Pro,Beauty & Personal Care,2,1744.09,3488.18
INV2396,2024-02-04,C0117,Meera Nair,Australia,P0114,Gym Bag Pro,Sports & Fitness,4,2410.4,9641.6
INV4966,2024-11-14,C0374,Ethan Iyer,Germany,P0004,Bluetooth Speaker Pro,Electronics,2,1139.19,2278.38
INV7055,2024-07-01,C0570,Diya Verma,United Kingdom,P0080,Body Lotion Pro,Beauty & Personal Care,1,1800.94,1800.94
INV5223,2023-12-02,C0401,Liam Dubois,India,P0030,Cushion Cover Set Pro,Home & Kitchen,2,2231.87,4463.74
INV8092,2024-05-05,C0674,Sara Nair,United States,P0076,Trimmer Pro,Beauty & Personal Care,4,629.12,2516.48
INV5167,2023-06-01,C0395,Kabir Iyer,United Kingdom,P0044,Denim Jacket Pro,Fashion,4,1479.03,5916.12
INV3308,2024-11-08,C0201,Olivia Kumar,Germany,P0045,Running Shoes,Fashion,6,1746.93,10481.58
INV8291,2024-07-15,C0691,Rohan Rossi,United Kingdom,P0071,Sunscreen,Beauty & Personal Care,5,987.31,4936.55
INV3937,2024-12-07,C0268,Arjun Kumar,Germany,P0076,Trimmer Pro,Beauty & Personal Care,4,835.61,3342.44
INV6597,2024-11-15,C0522,Vivaan Gupta,United Kingdom,P0077,Face Mask Pack,Beauty & Personal Care,6,1974.76,11848.56
INV4833,2024-06-11,C0360,Mason Khan,United States,P0075,Trimmer,Beauty & Personal Care,4,2115.34,8461.36
INV2346,2023-07-24,C0111,Henry Gupta,India,P0093,Fountain Pen,Books & Stationery,2,315.83,631.66
INV4154,2023-10-24,C0288,Ethan Iyer,United States,P0080,Body Lotion Pro,Beauty & Personal Care,2,1872.38,3744.76
INV7477,2024-10-24,C0612,Meera Jones,Australia,P0101,Yoga Mat,Sports & Fitness,4,1940.36,7761.44
INV4479,2024-12-26,C0317,Charlotte Johnson,United Kingdom,P0114,Gym Bag Pro,Sports & Fitness,5,3290.25,16451.25
INV7779,2024-12-29,C0636,Olivia Jones,United Kingdom,P0061,Face Wash,Beauty & Personal Care,3,1867.52,5602.56
INV7765,2024-10-05,C0635,Liam Sharma,India,P0027,Storage Boxes,Home & Kitchen,4,2292.31,9169.24
INV2901,2024-09-24,C0164,Mia Singh,United States,P0099,Puzzle Book,Books & Stationery,6,335.65,2013.9
INV8211,2023-11-26,C0684,Lucas Jones,Germany,P0004,Bluetooth Speaker Pro,Electronics,2,1770.18,3540.36
INV7925,2024-10-21,C0654,Harper Malhotra,France,P0034,Electric Kettle Pro,Home & Kitchen,1,1064.39,1064.39
INV2454,2024-12-13,C0125,Aditya Garcia,India,P0045,Running Shoes,Fashion,2,1290.83,2581.66
INV1213,2024-09-06,C0023,Ethan Patel,India,P0003,Bluetooth Speaker,Electronics,3,6132.31,18396.93
INV7920,2023-12-07,C0652,Lucas Dubois,United States,P0082,Notebook Set Pro,Books & Stationery,1,421.75,421.75
INV8236,2023-03-08,C0686,Vivaan Garcia,United States,P0067,Perfume,Beauty & Personal Care,4,266.15,1064.6
INV6250,2024-08-15,C0491,Liam Jones,United Kingdom,P0039,Bedsheet Set,Home & Kitchen,2,1880.61,3761.22
INV8050,2024-11-20,C0666,Noah Chopra,India,P0096,Bookmark Set Pro,Books & Stationery,6,858.96,5153.76
INV8682,2024-09-30,C0724,Meera Chopra,France,P0017,Wireless Mouse,Electronics,6,5986.4,35918.4
INV4908,2024-07-14,C0369,Aditya Rossi,India,P0100,Puzzle Book Pro,Books & Stationery,1,973.9,973.9
INV1822,2024-09-02,C0075,Sara Patel,Germany,P0040,Bedsheet Set Pro,Home & Kitchen,3,5642.18,16926.54
INV8432,2024-10-17,C0703,Liam Fischer,United Kingdom,P0017,Wireless Mouse,Electronics,6,7630.5,45783.0
INV7808,2024-11-02,C0636,Olivia Jones,United Kingdom,P0044,Denim Jacket Pro,Fashion,2,1417.64,2835.28
INV7509,2024-11-21,C0614,Isha Sharma,India,P0058,Analog Watch Pro,Fashion,5,4493.06,22465.3
INV9302,2024-07-02,C0793,Sara Muller,United States,P0007,Power Bank,Electronics,5,7710.49,38552.45
INV7642,2024-10-26,C0623,William Gupta,United Kingdom,P0078,Face Mask Pack Pro,Beauty & Personal Care,4,835.04,3340.16
INV1757,2024-12-12,C0067,Emma Nair,India,P0113,Gym Bag,Sports & Fitness,6,1672.22,10033.32
INV1286,2024-05-07,C0031,Olivia Malhotra,United States,P0113,Gym Bag,Sports & Fitness,4,1643.97,6575.88
INV6152,2024-07-06,C0487,Rohan Muller,India,P0062,Face Wash Pro,Beauty & Personal Care,5,338.78,1693.9
INV7596,2023-12-23,C0618,Olivia Nair,India,P0096,Bookmark Set Pro,Books & Stationery,6,667.14,4002.84
INV2495,2024-08-24,C0126,Aarav Iyer,United Kingdom,P0050,Sunglasses Pro,Fashion,5,2114.35,10571.75
INV2037,2023-12-09,C0086,Henry Williams,United Kingdom,P0033,Electric Kettle,Home & Kitchen,1,2303.47,2303.47
INV2499,2024-11-21,C0126,Aarav Iyer,United Kingdom,P0022,Non-stick Pan Pro,Home & Kitchen,2,707.9,1415.8
INV9166,2024-08-24,C0777,Olivia Singh,India,P0053,Backpack,Fashion,1,4195.34,4195.34
INV6952,2024-10-12,C0560,Aditya Verma,United States,P0005,Smart Watch,Electronics,4,3239.37,12957.48
INV4724,2024-10-03,C0343,Priya Brown,India,P0004,Bluetooth Speaker Pro,Electronics,3,945.11,2835.33
INV4096,2024-11-27,C0279,Noah Sharma,Germany,P0110,Skipping Rope Pro,Sports & Fitness,3,1899.71,5699.13
INV7850,2024-11-19,C0639,Mia Gupta,India,P0095,Bookmark Set,Books & Stationery,1,656.78,656.78
INV1788,2024-10-24,C0071,Ethan Muller,France,P0114,Gym Bag Pro,Sports & Fitness,3,2473.68,7421.04
INV5420,2024-07-25,C0417,Mia Fischer,India,P0011,Laptop Stand,Electronics,1,5161.29,5161.29
INV3645,2024-07-22,C0235,Ananya Kumar,India,P0002,Wireless Earbuds Pro,Electronics,5,1934.01,9670.05
INV5886,2023-03-27,C0464,Noah Sharma,United States,P0002,Wireless Earbuds Pro,Electronics,4,1172.15,4688.6
INV6155,2023-03-31,C0487,Rohan Muller,India,P0023,Ceramic Mug Set,Home & Kitchen,1,2704.45,2704.45
INV5594,2024-11-25,C0434,Lucas Jones,India,P0053,Backpack,Fashion,5,4492.28,22461.4
INV2377,2024-12-13,C0115,Rohan Chopra,Germany,P0103,Dumbbell Set,Sports & Fitness,2,1003.99,2007.98
INV7580,2024-07-20,C0618,Olivia Nair,India,P0094,Fountain Pen Pro,Books & Stationery,6,476.16,2856.96
INV2608,2024-06-20,C0137,James Nair,United States,P0116,Foam Roller Pro,Sports & Fitness,4,3664.75,14659.0
INV8819,2024-06-29,C0737,Olivia Kumar,United Kingdom,P0050,Sunglasses Pro,Fashion,5,1739.89,8699.45
INV1902,2024-05-19,C0079,Aditya Dubois,United Kingdom,P0008,Power Bank Pro,Electronics,4,5622.93,22491.72
INV2394,2024-08-10,C0117,Meera Nair,Australia,P0015,Mechanical Keyboard,Electronics,5,5064.65,25323.25
INV7653,2024-12-04,C0623,William Gupta,United Kingdom,P0048,Leather Wallet Pro,Fashion,4,2083.91,8335.64
INV8782,2024-12-14,C0736,William Verma,Canada,P0110,Skipping Rope Pro,Sports & Fitness,1,1923.44,1923.44
INV7637,2024-05-25,C0623,William Gupta,United Kingdom,P0043,Denim Jacket,Fashion,1,3885.08,3885.08
INV9277,2023-06-18,C0789,Liam Verma,United Kingdom,P0052,Formal Shirt Pro,Fashion,3,2414.54,7243.62
INV6017,2024-12-22,C0476,Mia Nair,Netherlands,P0019,Phone Case,Electronics,5,6237.02,31185.1
INV2733,2024-08-26,C0150,Amelia Garcia,India,P0004,Bluetooth Speaker Pro,Electronics,4,1026.23,4104.92
INV3666,2024-09-10,C0237,Priya Sharma,India,P0015,Mechanical Keyboard,Electronics,2,4763.41,9526.82
INV2783,2023-10-12,C0156,Liam Kumar,India,P0096,Bookmark Set Pro,Books & Stationery,5,528.7,2643.5
INV2537,2024-12-16,C0131,Vivaan Brown,United Kingdom,P0097,Art Supplies Kit,Books & Stationery,4,728.74,2914.96
INV3830,2024-04-27,C0250,Isha Muller,Canada,P0081,Notebook Set,Books & Stationery,6,210.89,1265.34
INV8086,2023-09-10,C0671,Sara Nair,India,P0108,Water Bottle Pro,Sports & Fitness,4,1237.4,4949.6
INV7924,2024-08-19,C0654,Harper Malhotra,France,P0070,Lipstick Pro,Beauty & Personal Care,6,830.72,4984.32
INV8458,2024-11-24,C0703,Liam Fischer,United Kingdom,P0003,Bluetooth Speaker,Electronics,1,9623.55,9623.55
INV8560,2024-11-20,C0715,Isha Brown,United Kingdom,P0050,Sunglasses Pro,Fashion,3,1845.16,5535.48
INV2418,2024-12-17,C0120,Ethan Fischer,United States,P0068,Perfume Pro,Beauty & Personal Care,6,1415.62,8493.72
INV2364,2024-03-30,C0114,Ananya Williams,Australia,P0033,Electric Kettle,Home & Kitchen,2,1786.38,3572.76
INV8546,2024-11-25,C0714,Sara Singh,United Kingdom,P0021,Non-stick Pan,Home & Kitchen,2,2153.73,4307.46
INV1349,2023-08-19,C0037,Aditya Brown,United Kingdom,P0119,Football,Sports & Fitness,5,1557.15,7785.75
INV2260,2024-08-07,C0102,Mia Sharma,Germany,P0026,LED Desk Lamp Pro,Home & Kitchen,6,4416.74,26500.44
INV4331,2024-06-12,C0301,Charlotte Rossi,India,P0004,Bluetooth Speaker Pro,Electronics,2,1822.92,3645.84
INV9374,2024-07-20,C0798,Ethan Williams,United States,P0111,Cycling Gloves,Sports & Fitness,4,1316.05,5264.2
INV3762,2024-12-29,C0247,Karan Muller,United Kingdom,P0116,Foam Roller Pro,Sports & Fitness,3,3003.68,9011.04
INV3464,2024-12-19,C0220,Liam Patel,Canada,P0012,Laptop Stand Pro,Electronics,3,9436.68,28310.04
INV3649,2024-10-22,C0235,Ananya Kumar,India,P0071,Sunscreen,Beauty & Personal Care,5,1203.24,6016.2
INV2283,2024-11-15,C0103,Isha Muller,United Kingdom,P0052,Formal Shirt Pro,Fashion,1,3066.9,3066.9
INV7185,2024-08-19,C0584,Meera Williams,United Kingdom,P0063,Moisturizer,Beauty & Personal Care,2,943.1,1886.2
INV3329,2023-10-24,C0207,Rohan Williams,India,P0066,Shampoo Pro,Beauty & Personal Care,6,456.43,2738.58
INV8309,2024-07-03,C0692,Kabir Fischer,United Kingdom,P0004,Bluetooth Speaker Pro,Electronics,4,1172.24,4688.96
INV6749,2024-10-13,C0539,Liam Fischer,United Kingdom,P0025,LED Desk Lamp,Home & Kitchen,2,1311.06,2622.12
INV7529,2024-10-04,C0614,Isha Sharma,India,P0104,Dumbbell Set Pro,Sports & Fitness,6,2717.2,16303.2
INV8151,2023-05-02,C0682,Lucas Patel,India,P0010,USB-C Cable Pro,Electronics,5,4226.85,21134.25
INV1795,2024-06-25,C0072,Emma Gupta,India,P0074,Hair Dryer Pro,Beauty & Personal Care,2,202.19,404.38
