CustomerID,CustomerName,Country,SignupDate,Tier
C0269,Sophia Jones,United Kingdom,2024-02-02,potential
C0270,Arjun Brown,India,2024-04-27,potential
C0271,Emma Sharma,Australia,2023-10-18,potential
C0272,Charlotte Johnson,Australia,2023-11-02,loyal
C0273,Ethan Garcia,Canada,2023-02-13,champion
C0274,Liam Khan,UAE,2024-03-28,champion
C0275,Henry Williams,United States,2023-01-27,lost
C0276,Sophia Malhotra,United States,2023-03-21,potential
C0277,Rohan Dubois,Australia,2023-03-22,potential
C0278,Charlotte Nair,Germany,2024-01-22,new
C0279,Noah Sharma,Germany,2023-11-13,loyal
C0280,Isha Williams,Australia,2023-01-26,lost
C0281,Ananya Iyer,Canada,2023-12-12,new
C0282,Liam Verma,United Kingdom,2023-02-11,loyal
C0283,Isha Chopra,United Kingdom,2023-05-20,potential
C0284,Ava Muller,India,2023-08-15,lost
C0285,Amelia Garcia,United States,2023-12-05,lost
C0286,Ava Chopra,India,2023-08-06,at_risk
C0287,Rohan Patel,United Kingdom,2023-09-06,new
C0288,Ethan Iyer,United States,2023-11-07,loyal
C0289,James Williams,India,2023-08-15,lost
C0290,Vivaan Rossi,United States,2023-08-01,loyal
C0291,Aarav Reddy,India,2023-05-20,lost
C0292,Meera Nair,India,2023-04-21,new
C0293,Charlotte Fischer,Australia,2024-01-22,new
C0294,James Muller,United Kingdom,2023-09-20,at_risk
C0295,Ava Khan,India,2023-02-28,loyal
C0296,Charlotte Garcia,United States,2023-06-26,loyal
C0297,Diya Garcia,France,2023-08-09,loyal
C0298,Charlotte Patel,India,2023-02-26,loyal
C0299,Amelia Jones,United States,2023-05-26,new
C0300,Rohan Jones,India,2023-12-14,potential
C0301,Charlotte Rossi,India,2023-12-14,champion
C0302,Noah Dubois,United States,2023-10-31,lost
C0303,Lucas Jones,United States,2023-09-07,lost
C0304,Priya Gupta,Germany,2023-09-27,lost
C0305,James Rossi,France,2023-12-08,lost
C0306,Charlotte Dubois,Netherlands,2023-06-07,loyal
C0307,Charlotte Smith,United States,2023-01-24,potential
C0308,Diya Iyer,United Kingdom,2023-04-23,new
C0309,Olivia Dubois,Australia,2023-07-22,new
C0310,Priya Sharma,India,2023-11-03,loyal
C0311,Olivia Jones,United Kingdom,2023-01-29,lost
C0312,James Rossi,India,2023-01-04,loyal
C0313,Harper Iyer,India,2023-04-15,loyal
C0314,Diya Malhotra,Singapore,2023-06-04,at_risk
C0315,Noah Kumar,Australia,2024-04-29,at_risk
C0316,Mason Kumar,Germany,2023-04-19,at_risk
C0317,Charlotte Johnson,United Kingdom,2024-01-28,loyal
C0318,Rohan Singh,India,2023-03-12,lost
C0319,Harper Smith,India,2024-01-27,potential
C0320,Charlotte Khan,India,2023-05-11,loyal
C0321,Olivia Reddy,United States,2023-05-29,lost
C0322,Charlotte Malhotra,France,2023-06-17,lost
C0323,Diya Garcia,Germany,2023-03-03,lost
C0324,Aditya Brown,India,2023-01-04,lost
C0325,Charlotte Jones,Singapore,2023-09-12,new
C0326,Emma Johnson,France,2024-01-18,at_risk
C0327,Riya Sharma,United States,2023-08-09,loyal
C0328,Vivaan Brown,United States,2023-03-31,potential
C0329,Mia Chopra,United Kingdom,2023-03-08,potential
C0330,Sara Khan,India,2023-07-14,potential
C0331,Mason Rossi,United Kingdom,2023-09-30,new
C0332,Karan Malhotra,France,2023-12-27,at_risk
C0333,Kabir Johnson,India,2023-04-28,loyal
C0334,Lucas Dubois,India,2023-09-14,loyal
C0335,Mia Dubois,India,2023-10-14,new
C0336,Emma Gupta,India,2024-03-02,champion
C0337,William Sharma,Canada,2023-12-09,lost
C0338,Karan Patel,Germany,2024-02-17,at_risk
C0339,Henry Rossi,United Kingdom,2023-07-01,at_risk
C0340,Emma Smith,India,2023-02-06,at_risk
C0341,Harper Reddy,United States,2023-07-23,lost
C0342,Mason Verma,United Kingdom,2024-03-17,potential
C0343,Priya Brown,India,2024-01-15,new
C0344,Meera Patel,United Kingdom,2023-01-22,at_risk
C0345,Mason Gupta,United Kingdom,2023-08-12,potential
C0346,Harper Kumar,United States,2023-01-10,lost
C0347,Charlotte Reddy,Germany,2023-08-24,new
C0348,Priya Chopra,India,2024-04-16,new
C0349,Noah Kumar,United Kingdom,2023-02-09,lost
C0350,Diya Reddy,United States,2024-03-17,lost
C0351,Ava Nair,United States,2023-06-10,new
C0352,Mason Smith,Canada,2023-10-22,lost
C0353,Amelia Singh,Germany,2023-08-08,new
C0354,Mason Williams,India,2023-10-21,new
C0355,Henry Brown,India,2023-07-27,new
C0356,Arjun Malhotra,Germany,2023-12-30,new
C0357,Liam Reddy,India,2023-11-24,loyal
C0358,Mia Malhotra,United States,2023-08-02,lost
C0359,Emma Williams,Singapore,2023-05-29,lost
C0360,Mason Khan,United States,2023-02-28,champion
C0361,Lucas Jones,United Kingdom,2023-07-27,lost
C0362,Emma Williams,Germany,2023-01-11,loyal
C0363,Noah Garcia,United Kingdom,2024-05-09,potential
C0364,Karan Nair,United States,2023-06-16,new
C0365,Aditya Gupta,Singapore,2023-03-29,loyal
C0366,Riya Brown,United Kingdom,2024-02-15,lost
C0367,Ethan Gupta,Singapore,2024-04-30,lost
C0368,Lucas Johnson,UAE,2023-11-13,at_risk
C0369,Aditya Rossi,India,2023-08-24,champion
C0370,Ava Garcia,India,2024-03-01,potential
C0371,Priya Kumar,India,2023-12-20,new
C0372,Ava Verma,India,2024-04-15,lost
C0373,James Rossi,India,2023-07-05,new
C0374,Ethan Iyer,Germany,2023-02-15,potential
C0375,Lucas Sharma,India,2023-08-12,new
C0376,Sara Iyer,United Kingdom,2024-03-08,at_risk
C0377,Ethan Singh,Canada,2023-02-24,new
C0378,Aarav Muller,India,2023-05-05,loyal
C0379,Olivia Dubois,Australia,2023-08-12,new
C0380,Sara Rossi,India,2023-10-29,at_risk
C0381,Priya Nair,India,2023-07-25,lost
C0382,Harper Chopra,Germany,2023-09-26,potential
C0383,Karan Brown,United States,2023-02-10,new
C0384,Mia Brown,Canada,2023-07-22,lost
C0385,Liam Rossi,France,2024-03-21,loyal
C0386,Mia Sharma,Australia,2023-06-08,lost
C0387,Ethan Garcia,India,2024-01-17,new
C0388,Charlotte Fischer,India,2023-06-23,champion
C0389,Harper Dubois,France,2023-04-24,potential
C0390,Amelia Smith,Australia,2023-06-20,new
C0391,Arjun Kumar,Netherlands,2024-02-03,champion
C0392,Meera Gupta,United Kingdom,2023-03-28,at_risk
C0393,Diya Nair,United Kingdom,2023-02-09,potential
C0394,Aarav Dubois,France,2023-09-19,new
C0395,Kabir Iyer,United Kingdom,2023-11-21,champion
C0396,Charlotte Sharma,UAE,2023-02-28,lost
C0397,Aditya Malhotra,Canada,2023-09-29,lost
C0398,Ava Gupta,United Kingdom,2023-09-19,lost
C0399,Sara Kumar,France,2023-04-10,new
C0400,Ananya Verma,France,2024-04-08,loyal
C0401,Liam Dubois,India,2024-02-02,new
C0402,Noah Johnson,UAE,2023-06-28,champion
C0403,Mason Garcia,United States,2023-06-29,champion
C0404,Noah Dubois,Australia,2024-01-08,potential
C0405,Liam Rossi,United Kingdom,2024-05-05,at_risk
C0406,Liam Khan,Canada,2024-02-24,new
C0407,Mia Sharma,United Kingdom,2023-11-27,new
C0408,Amelia Nair,India,2024-02-22,potential
C0409,Vivaan Muller,UAE,2023-03-17,potential
C0410,Emma Malhotra,India,2023-05-01,lost
C0411,Aditya Malhotra,United Kingdom,2023-02-22,potential
C0412,Vivaan Sharma,Singapore,2023-03-16,at_risk
C0413,Emma Johnson,Singapore,2023-05-12,loyal
C0414,Arjun Sharma,United States,2023-04-12,new
C0415,Diya Gupta,Germany,2023-03-30,new
C0416,Emma Gupta,United Kingdom,2023-11-05,loyal
C0417,Mia Fischer,India,2023-03-20,loyal
C0418,Isha Iyer,United Kingdom,2024-01-25,new
C0419,James Kumar,Germany,2024-01-24,new
C0420,Lucas Williams,France,2023-12-02,potential
C0421,Henry Muller,Australia,2023-02-08,lost
C0422,Ananya Chopra,Australia,2023-04-01,loyal
C0423,Diya Patel,India,2024-05-02,potential
C0424,Henry Smith,United States,2024-01-31,lost
C0425,Olivia Patel,India,2023-11-18,potential
C0426,Kabir Sharma,United States,2023-09-10,new
C0427,Meera Jones,United Kingdom,2023-08-26,potential
C0428,Kabir Fischer,Canada,2024-01-22,potential
C0429,Meera Dubois,United Kingdom,2023-10-16,lost
C0430,Ethan Johnson,India,2024-01-25,potential
C0431,Aditya Iyer,India,2023-10-24,lost
C0432,Lucas Malhotra,France,2023-08-18,loyal
C0433,Emma Patel,United States,2023-12-15,loyal
C0434,Lucas Jones,India,2024-04-18,champion
C0435,Sara Fischer,India,2024-03-27,new
C0436,Diya Patel,Germany,2023-10-17,potential
C0437,Harper Iyer,India,2023-11-26,lost
C0438,Harper Verma,Australia,2023-11-22,at_risk
C0439,Sophia Nair,Germany,2023-11-16,lost
C0440,Ava Fischer,India,2023-06-15,loyal
C0441,Sophia Khan,India,2024-03-18,lost
C0442,Rohan Malhotra,Netherlands,2024-05-12,new
C0443,Noah Sharma,United Kingdom,2023-11-18,new
C0444,Sara Rossi,United Kingdom,2023-06-11,lost
C0445,Arjun Singh,Australia,2023-03-19,new
C0446,Isha Rossi,Singapore,2023-08-14,new
C0447,Sophia Malhotra,Netherlands,2023-02-04,loyal
C0448,Karan Kumar,France,2023-08-29,champion
C0449,Lucas Gupta,United Kingdom,2023-08-15,lost
C0450,Ava Smith,India,2023-11-20,new
C0451,Amelia Reddy,France,2023-06-05,new
C0452,William Williams,United States,2024-02-12,at_risk
C0453,Diya Nair,United Kingdom,2023-05-21,loyal
C0454,Henry Singh,UAE,2023-10-30,loyal
C0455,Mason Rossi,India,2023-01-29,new
C0456,Arjun Iyer,United States,2023-06-30,potential
C0457,Liam Garcia,India,2023-09-17,loyal
C0458,Sara Brown,United Kingdom,2023-02-07,at_risk
C0459,Arjun Khan,India,2023-06-08,champion
C0460,Liam Kumar,India,2023-08-25,at_risk
C0461,Emma Kumar,India,2023-08-20,potential
C0462,Kabir Chopra,Germany,2023-01-20,new
C0463,Charlotte Dubois,France,2023-01-30,potential
C0464,Noah Sharma,United States,2023-07-08,at_risk
C0465,Mia Garcia,Singapore,2024-03-01,champion
C0466,Ananya Singh,United Kingdom,2023-05-27,champion
C0467,James Muller,India,2023-02-09,potential
C0468,Harper Williams,Canada,2023-11-27,at_risk
C0469,Noah Williams,India,2024-03-18,new
C0470,Karan Chopra,Singapore,2024-05-15,potential
C0471,Lucas Williams,India,2024-03-13,new
C0472,Priya Sharma,Singapore,2023-02-16,lost
C0473,Rohan Johnson,India,2023-11-11,new
C0474,Aditya Brown,Canada,2023-11-01,champion
C0475,Amelia Rossi,United States,2023-09-17,at_risk
C0476,Mia Nair,Netherlands,2023-07-16,loyal
C0477,Henry Brown,India,2023-08-25,loyal
C0478,Lucas Singh,United States,2023-10-25,lost
C0479,William Singh,Singapore,2023-10-11,loyal
C0480,Mason Sharma,United States,2024-05-03,at_risk
C0481,Aditya Jones,United States,2024-02-10,new
C0482,Emma Dubois,Germany,2024-01-14,new
C0483,Lucas Brown,United Kingdom,2024-04-03,at_risk
C0484,Olivia Fischer,United States,2023-01-22,champion
C0485,Kabir Muller,United States,2023-08-19,potential
C0486,Mia Nair,UAE,2024-04-10,at_risk
C0487,Rohan Muller,India,2024-02-19,loyal
C0488,Ava Nair,India,2023-10-20,potential
C0489,Noah Muller,Singapore,2023-11-30,champion
C0490,Lucas Kumar,Canada,2023-04-07,champion
C0491,Liam Jones,United Kingdom,2023-06-14,potential
C0492,Liam Brown,United States,2023-11-06,loyal
C0493,Isha Johnson,India,2023-09-01,at_risk
C0494,Noah Patel,India,2023-09-14,new
C0495,Amelia Nair,United Kingdom,2023-03-19,lost
C0496,Henry Smith,United Kingdom,2024-05-05,loyal
C0497,James Johnson,United States,2023-02-01,loyal
C0498,Amelia Singh,India,2023-08-19,loyal
C0499,Liam Iyer,Netherlands,2023-02-22,new
C0500,Henry Reddy,Netherlands,2024-02-20,new
C0501,Diya Jones,Germany,2024-04-05,champion
C0502,Isha Johnson,United States,2024-03-04,lost
C0503,Olivia Brown,United Kingdom,2023-06-25,champion
C0504,Sophia Smith,Australia,2024-01-01,at_risk
C0505,Olivia Sharma,Germany,2023-02-13,new
C0506,Lucas Nair,India,2023-09-16,lost
C0507,Riya Williams,UAE,2023-11-27,new
C0508,Vivaan Verma,Australia,2023-03-30,lost
C0509,Priya Jones,Singapore,2023-01-21,potential
C0510,Lucas Gupta,France,2023-05-07,lost
C0511,William Singh,United States,2023-12-29,loyal
C0512,Isha Sharma,United Kingdom,2023-08-13,lost
C0513,Kabir Jones,UAE,2023-08-13,at_risk
C0514,Mia Singh,Canada,2023-09-26,lost
C0515,Mason Garcia,India,2023-09-25,at_risk
C0516,Ananya Verma,India,2023-11-09,new
C0517,Liam Singh,United Kingdom,2023-03-23,at_risk
C0518,Isha Khan,Australia,2023-07-06,new
C0519,Ethan Singh,Netherlands,2023-07-10,loyal
C0520,Aditya Iyer,India,2024-04-14,champion
C0521,William Fischer,United States,2023-05-25,loyal
C0522,Vivaan Gupta,United Kingdom,2023-07-18,loyal
C0523,Riya Iyer,Singapore,2023-07-29,lost
C0524,Olivia Khan,Canada,2024-02-01,loyal
C0525,Emma Patel,Australia,2023-06-23,lost
C0526,Priya Rossi,United Kingdom,2023-12-14,potential
C0527,Diya Chopra,United Kingdom,2023-11-03,loyal
C0528,Harper Chopra,India,2023-01-27,new
C0529,Emma Reddy,India,2024-02-09,new
C0530,Ethan Kumar,Canada,2023-11-20,at_risk
C0531,Meera Kumar,Australia,2023-11-28,at_risk
C0532,Olivia Iyer,Netherlands,2023-06-21,new
C0533,Ava Jones,Netherlands,2023-02-03,loyal
C0534,Kabir Chopra,United States,2023-06-18,lost
C0535,Vivaan Chopra,France,2023-02-18,lost
C0536,Amelia Patel,Singapore,2023-10-13,new
C0537,Henry Johnson,Canada,2023-12-14,loyal
C0538,William Johnson,India,2023-07-17,new
